"Name","WAR","G...8","AB","R","H...11","HR...12","RBI","SB","BB...15","BA","OBP","SLG","OPS","W","L","ERA","WHIP","GS","SV","IP","H_A","HR_A","BB_A","SO_A","yearID","playerID","MVPCan"
"Dave McNally",3.3,30,74,3,12,2,7,0,3,0.162,0.195,0.284,0.479,21,5,2.89,1.097,30,0,224.1,188,24,58,91,1971,"mcnalda01","yes"
"Norm Cash",3.1,135,452,72,128,32,91,1,59,0.283,0.372,0.531,0.903,0,0,0,0,0,0,0,0,0,0,0,1971,"cashno01","yes"
"Bill Melton",5.7,150,543,72,146,33,86,3,61,0.269,0.352,0.492,0.843,0,0,0,0,0,0,0,0,0,0,0,1971,"meltobi01","yes"
"Reggie Jackson",6.4,150,567,87,157,32,80,16,63,0.277,0.352,0.508,0.86,0,0,0,0,0,0,0,0,0,0,0,1971,"jacksre01","yes"
"Cookie Rojas",3.6,115,414,56,124,6,59,8,39,0.3,0.357,0.406,0.763,0,0,0,0,0,0,0,0,0,0,0,1971,"rojasco01","yes"
"Ken Sanders",3.8,83,14,1,0,0,0,0,1,0,0.067,0,0.067,7,12,1.91,1.064,0,31,136.1,111,9,34,80,1971,"sandeke01","yes"
"Pat Dobson",2.5,38,91,3,10,0,4,0,3,0.11,0.138,0.11,0.248,20,8,2.9,1.102,37,1,282.1,248,24,63,187,1971,"dobsopa01","yes"
"Reggie Smith",5.6,159,618,85,175,30,96,11,63,0.283,0.352,0.489,0.84,0,0,0,0,0,0,0,0,0,0,0,1971,"smithre06","yes"
"Davey Johnson",4.4,142,510,67,144,18,72,3,51,0.282,0.351,0.443,0.794,0,0,0,0,0,0,0,0,0,0,0,1971,"johnsda02","yes"
"Merv Rettenmund",5.8,141,491,81,156,11,75,15,87,0.318,0.422,0.448,0.87,0,0,0,0,0,0,0,0,0,0,0,1971,"retteme01","yes"
"Leo Cardenas",3.1,153,554,59,146,18,75,3,51,0.264,0.321,0.421,0.741,0,0,0,0,0,0,0,0,0,0,0,1971,"cardele01","yes"
"Harmon Killebrew",2.8,147,500,61,127,28,119,3,114,0.254,0.386,0.464,0.85,0,0,0,0,0,0,0,0,0,0,0,1971,"killeha01","yes"
"Jim Palmer",4.4,38,102,7,20,0,9,1,3,0.196,0.219,0.206,0.425,20,9,2.68,1.195,37,0,282,231,19,106,184,1971,"palmeji01","yes"
"Mike Cuellar",2.4,38,107,7,11,1,5,0,2,0.103,0.119,0.14,0.259,20,9,3.08,1.122,38,0,292.1,250,30,78,124,1971,"cuellmi01","yes"
"Cesar Tovar",3.8,157,657,94,204,1,45,18,45,0.311,0.356,0.368,0.725,0,0,0,0,0,0,0,0,0,0,0,1971,"tovarce01","yes"
"George Scott",2.9,146,537,72,141,24,78,0,41,0.263,0.317,0.441,0.758,0,0,0,0,0,0,0,0,0,0,0,1971,"scottge02","yes"
"Don Buford",5.1,122,449,99,130,19,54,15,89,0.29,0.413,0.477,0.89,0,0,0,0,0,0,0,0,0,0,0,1971,"bufordo01","yes"
"Catfish Hunter",4.2,38,103,14,36,1,12,1,2,0.35,0.362,0.408,0.77,21,11,2.96,1.114,37,0,273.2,225,27,80,181,1971,"hunteca01","yes"
"Graig Nettles",7.5,158,598,78,156,28,86,7,82,0.261,0.35,0.435,0.785,0,0,0,0,0,0,0,0,0,0,0,1971,"nettlgr01","yes"
"Dick Allen",8.6,148,506,90,156,37,113,19,99,0.308,0.42,0.603,1.023,0,0,0,0,0,0,0,0,0,0,0,1972,"allendi01","yes"
"Joe Rudi",6.1,147,593,94,181,19,75,3,37,0.305,0.345,0.486,0.83,0,0,0,0,0,0,0,0,0,0,0,1972,"rudijo01","yes"
"Sparky Lyle",3.7,59,21,2,4,0,1,0,1,0.19,0.227,0.238,0.465,9,5,1.92,1.05,0,35,107.2,84,3,29,75,1972,"lylesp01","yes"
"Carlton Fisk",7.3,131,457,74,134,22,61,5,52,0.293,0.37,0.538,0.909,0,0,0,0,0,0,0,0,0,0,0,1972,"fiskca01","yes"
"Bobby Murcer",8.2,153,585,102,171,33,96,11,63,0.292,0.361,0.537,0.898,0,0,0,0,0,0,0,0,0,0,0,1972,"murcebo01","yes"
"Gaylord Perry",11,41,110,5,17,1,9,0,5,0.155,0.197,0.2,0.397,24,16,1.92,0.978,40,1,342.2,253,17,82,234,1972,"perryga01","yes"
"Wilbur Wood",10.3,49,125,8,17,0,7,0,6,0.136,0.176,0.136,0.312,24,17,2.51,1.059,49,0,376.2,325,28,74,193,1972,"woodwi01","yes"
"Luis Tiant",6.2,43,56,3,6,0,4,0,2,0.107,0.138,0.125,0.263,15,6,1.91,1.078,19,3,179,128,7,65,123,1972,"tiantlu01","yes"
"Ed Brinkman",0.7,156,516,42,105,6,49,0,38,0.203,0.259,0.279,0.538,0,0,0,0,0,0,0,0,0,0,0,1972,"brinked01","yes"
"Mickey Lolich",7.2,41,89,3,6,0,0,0,20,0.067,0.245,0.067,0.313,22,14,2.5,1.088,41,0,327.1,282,29,74,250,1972,"lolicmi01","yes"
"Catfish Hunter",5.9,39,105,5,23,0,5,0,0,0.219,0.215,0.219,0.434,21,7,2.04,0.914,37,0,295.1,200,21,70,191,1972,"hunteca01","yes"
"John Mayberry",4.9,149,503,65,150,25,100,0,78,0.298,0.394,0.507,0.9,0,0,0,0,0,0,0,0,0,0,0,1972,"maybejo01","yes"
"Jim Palmer",6.1,36,98,12,22,0,8,0,2,0.224,0.24,0.276,0.516,21,10,2.07,1.053,36,0,274.1,219,21,70,184,1972,"palmeji01","yes"
"Rod Carew",5.4,142,535,61,170,0,51,12,43,0.318,0.369,0.379,0.749,0,0,0,0,0,0,0,0,0,0,0,1972,"carewro01","yes"
"Bobby Grich",6,133,460,66,128,12,50,13,53,0.278,0.358,0.415,0.773,0,0,0,0,0,0,0,0,0,0,0,1972,"grichbo01","yes"
"Bert Campaneris",5.4,149,625,85,150,8,32,52,32,0.24,0.278,0.325,0.603,0,0,0,0,0,0,0,0,0,0,0,1972,"campabe01","yes"
"Mike Epstein",5.2,138,455,63,123,26,70,0,68,0.27,0.376,0.49,0.866,0,0,0,0,0,0,0,0,0,0,0,1972,"epstemi01","yes"
"Luis Aparicio",2,110,436,47,112,3,39,3,26,0.257,0.299,0.351,0.649,0,0,0,0,0,0,0,0,0,0,0,1972,"aparilu01","yes"
"Reggie Jackson",5.6,135,499,72,132,25,75,9,59,0.265,0.35,0.473,0.823,0,0,0,0,0,0,0,0,0,0,0,1972,"jacksre01","yes"
"Rico Petrocelli",2.7,147,521,62,125,15,75,0,78,0.24,0.339,0.363,0.702,0,0,0,0,0,0,0,0,0,0,0,1972,"petrori01","yes"
"Carlos May",4.3,148,523,83,161,12,68,23,79,0.308,0.405,0.438,0.843,0,0,0,0,0,0,0,0,0,0,0,1972,"mayca01","yes"
"George Scott",4.9,152,578,71,154,20,88,16,43,0.266,0.321,0.426,0.746,0,0,0,0,0,0,0,0,0,0,0,1972,"scottge02","yes"
"Danny Thompson",2.9,144,573,54,158,4,48,3,34,0.276,0.318,0.356,0.674,0,0,0,0,0,0,0,0,0,0,0,1972,"thompda01","yes"
"Tommy Harper",1.4,144,556,92,141,14,49,25,67,0.254,0.341,0.388,0.73,0,0,0,0,0,0,0,0,0,0,0,1972,"harpeto01","yes"
"Al Kaline",2.6,106,278,46,87,10,32,1,28,0.313,0.374,0.475,0.849,0,0,0,0,0,0,0,0,0,0,0,1972,"kalinal01","yes"
"Bill Freehan",4.2,111,374,51,98,10,56,0,48,0.262,0.354,0.401,0.755,0,0,0,0,0,0,0,0,0,0,0,1972,"freehbi01","yes"
"Ken McMullen",3.7,137,472,36,127,9,34,1,48,0.269,0.335,0.369,0.704,0,0,0,0,0,0,0,0,0,0,0,1972,"mcmulke01","yes"
"Brooks Robinson",3.5,153,556,48,139,8,64,1,43,0.25,0.303,0.342,0.644,0,0,0,0,0,0,0,0,0,0,0,1972,"robinbr01","yes"
"Reggie Smith",4,131,467,75,126,21,74,15,68,0.27,0.365,0.475,0.84,0,0,0,0,0,0,0,0,0,0,0,1972,"smithre06","yes"
"Sal Bando",5.6,152,535,64,126,15,77,3,78,0.236,0.341,0.368,0.709,0,0,0,0,0,0,0,0,0,0,0,1972,"bandosa01","yes"
"Nolan Ryan",6.3,39,96,4,13,0,3,1,2,0.135,0.153,0.208,0.361,19,16,2.28,1.137,39,0,284,166,14,157,329,1972,"ryanno01","yes"
"Amos Otis",3.1,143,540,75,158,11,54,28,50,0.293,0.352,0.413,0.765,0,0,0,0,0,0,0,0,0,0,0,1972,"otisam01","yes"
"Lou Piniella",3.5,151,574,65,179,11,72,7,34,0.312,0.356,0.441,0.797,0,0,0,0,0,0,0,0,0,0,0,1972,"pinielo01","yes"
"Reggie Jackson",7.8,151,539,99,158,32,117,22,76,0.293,0.383,0.531,0.914,0,0,0,0,0,0,0,0,0,0,0,1973,"jacksre01","yes"
"Jim Palmer",6.3,0,0,0,0,0,0,0,0,0,0,0,0,22,9,2.4,1.141,37,1,296.1,225,16,113,158,1973,"palmeji01","yes"
"Amos Otis",4,148,583,89,175,26,93,13,63,0.3,0.368,0.484,0.851,0,0,0,0,0,0,0,0,0,0,0,1973,"otisam01","yes"
"Sal Bando",6.5,162,592,97,170,29,98,4,82,0.287,0.375,0.498,0.873,0,0,0,0,0,0,0,0,0,0,0,1973,"bandosa01","yes"
"Rod Carew",7,149,580,98,203,6,62,41,62,0.35,0.411,0.471,0.881,0,0,0,0,0,0,0,0,0,0,0,1973,"carewro01","yes"
"John Hiller",7.9,0,0,0,0,0,0,0,0,0,0,0,0,10,5,1.44,1.021,0,38,125.1,89,7,39,124,1973,"hillejo01","yes"
"John Mayberry",5.2,152,510,87,142,26,100,3,122,0.278,0.417,0.478,0.895,0,0,0,0,0,0,0,0,0,0,0,1973,"maybejo01","yes"
"Dave May",4.7,156,624,96,189,25,93,6,44,0.303,0.352,0.473,0.824,0,0,0,0,0,0,0,0,0,0,0,1973,"mayda01","yes"
"Bobby Murcer",5.1,160,616,83,187,22,95,6,50,0.304,0.357,0.464,0.821,0,0,0,0,0,0,0,0,0,0,0,1973,"murcebo01","yes"
"Tommy Davis",1.1,137,552,53,169,7,89,11,30,0.306,0.341,0.391,0.732,0,0,0,0,0,0,0,0,0,0,0,1973,"davisto02","yes"
"Catfish Hunter",1.9,1,1,0,1,0,0,0,0,1,1,1,2,21,5,3.34,1.135,36,0,256.1,222,39,69,124,1973,"hunteca01","yes"
"Thurman Munson",7.2,147,519,80,156,20,74,4,48,0.301,0.362,0.487,0.849,0,0,0,0,0,0,0,0,0,0,0,1973,"munsoth01","yes"
"Tommy Harper",4.8,147,566,92,159,17,71,54,61,0.281,0.351,0.422,0.774,0,0,0,0,0,0,0,0,0,0,0,1973,"harpeto01","yes"
"George Scott",6.7,158,604,98,185,24,107,9,61,0.306,0.37,0.488,0.858,0,0,0,0,0,0,0,0,0,0,0,1973,"scottge02","yes"
"Orlando Cepeda",1.5,142,550,51,159,20,86,0,50,0.289,0.35,0.444,0.793,0,0,0,0,0,0,0,0,0,0,0,1973,"cepedor01","yes"
"Frank Robinson",4.8,147,534,85,142,30,97,1,82,0.266,0.372,0.489,0.861,0,0,0,0,0,0,0,0,0,0,0,1973,"robinfr02","yes"
"Nolan Ryan",7.7,1,0,0,0,0,0,0,0,0,0,0,0,21,16,2.87,1.227,39,1,326,238,18,162,383,1973,"ryanno01","yes"
"Carlton Fisk",3.9,135,508,65,125,26,71,7,37,0.246,0.309,0.441,0.75,0,0,0,0,0,0,0,0,0,0,0,1973,"fiskca01","yes"
"Bobby Grich",8.3,162,581,82,146,12,50,17,107,0.251,0.373,0.387,0.76,0,0,0,0,0,0,0,0,0,0,0,1973,"grichbo01","yes"
"Carl Yastrzemski",5.5,152,540,82,160,19,95,9,105,0.296,0.407,0.463,0.87,0,0,0,0,0,0,0,0,0,0,0,1973,"yastrca01","yes"
"Mark Belanger",3.6,154,470,60,106,0,27,13,49,0.226,0.302,0.262,0.564,0,0,0,0,0,0,0,0,0,0,0,1973,"belanma01","yes"
"Deron Johnson",1.5,131,464,61,114,19,81,0,59,0.246,0.33,0.407,0.737,0,0,0,0,0,0,0,0,0,0,0,1973,"johnsde01","yes"
"John Briggs",3.2,142,488,78,120,18,57,15,87,0.246,0.361,0.426,0.787,0,0,0,0,0,0,0,0,0,0,0,1973,"briggjo02","yes"
"Joe Coleman",5.7,0,0,0,0,0,0,0,0,0,0,0,0,23,15,3.53,1.304,40,0,288.1,283,32,93,202,1973,"colemjo05","yes"
"Cookie Rojas",2.5,139,551,77,152,6,69,18,37,0.276,0.32,0.372,0.692,0,0,0,0,0,0,0,0,0,0,0,1973,"rojasco01","yes"
"Bert Blyleven",9.7,0,0,0,0,0,0,0,0,0,0,0,0,20,17,2.52,1.117,40,0,325,296,16,67,258,1973,"blylebe01","yes"
"Bert Campaneris",4.6,151,601,89,150,4,46,34,50,0.25,0.308,0.318,0.626,0,0,0,0,0,0,0,0,0,0,0,1973,"campabe01","yes"
"Gaylord Perry",7.8,0,0,0,0,0,0,0,0,0,0,0,0,19,19,3.38,1.25,41,0,344,315,34,115,238,1973,"perryga01","yes"
"Vida Blue",2,2,1,0,0,0,0,0,0,0,0,0,0,20,9,3.28,1.21,37,0,263.2,214,26,105,158,1973,"bluevi01","yes"
"Willie Horton",1.6,111,411,42,130,17,53,1,23,0.316,0.362,0.501,0.863,0,0,0,0,0,0,0,0,0,0,0,1973,"hortowi01","yes"
"Carlos May",1.8,149,553,62,148,20,96,8,53,0.268,0.334,0.412,0.747,0,0,0,0,0,0,0,0,0,0,0,1973,"mayca01","yes"
"Bill North",7,146,554,98,158,5,34,53,78,0.285,0.376,0.348,0.725,0,0,0,0,0,0,0,0,0,0,0,1973,"northbi01","yes"
"Paul Blair",4.9,146,500,73,140,10,64,18,43,0.28,0.334,0.402,0.736,0,0,0,0,0,0,0,0,0,0,0,1973,"blairpa01","yes"
"Dave Nelson",3.1,142,576,71,165,7,48,43,34,0.286,0.325,0.378,0.703,0,0,0,0,0,0,0,0,0,0,0,1973,"nelsoda01","yes"
"Dick Allen",2.9,72,250,39,79,16,41,7,33,0.316,0.394,0.612,1.006,0,0,0,0,0,0,0,0,0,0,0,1973,"allendi01","yes"
"Jeff Burroughs",3.6,152,554,84,167,25,118,2,91,0.301,0.397,0.504,0.901,0,0,0,0,0,0,0,0,0,0,0,1974,"burroje01","yes"
"Joe Rudi",4.7,158,593,73,174,22,99,2,34,0.293,0.334,0.484,0.818,0,0,0,0,0,0,0,0,0,0,0,1974,"rudijo01","yes"
"Sal Bando",4.9,146,498,84,121,22,103,2,86,0.243,0.352,0.426,0.778,0,0,0,0,0,0,0,0,0,0,0,1974,"bandosa01","yes"
"Reggie Jackson",5.7,148,506,90,146,29,93,25,86,0.289,0.391,0.514,0.905,0,0,0,0,0,0,0,0,0,0,0,1974,"jacksre01","yes"
"Fergie Jenkins",7.8,1,2,1,1,0,0,0,0,0.5,0.5,0.5,1,25,12,2.82,1.008,41,0,328.1,286,27,45,225,1974,"jenkife01","yes"
"Catfish Hunter",6.9,2,0,0,0,0,0,0,0,0,0,0,0,25,12,2.49,0.986,41,0,318.1,268,25,46,143,1974,"hunteca01","yes"
"Rod Carew",7.5,153,599,86,218,3,55,38,74,0.364,0.433,0.446,0.879,0,0,0,0,0,0,0,0,0,0,0,1974,"carewro01","yes"
"Elliott Maddox",5.4,137,466,75,141,3,45,6,69,0.303,0.395,0.386,0.781,0,0,0,0,0,0,0,0,0,0,0,1974,"maddoel01","yes"
"Bobby Grich",7.3,160,582,92,153,19,82,17,90,0.263,0.376,0.431,0.807,0,0,0,0,0,0,0,0,0,0,0,1974,"grichbo01","yes"
"Mike Cuellar",3.4,0,0,0,0,0,0,0,0,0,0,0,0,22,10,3.11,1.259,38,0,269.1,253,17,86,106,1974,"cuellmi01","yes"
"Luis Tiant",7.7,1,0,0,0,0,0,0,0,0,0,0,0,22,13,2.92,1.166,38,0,311.1,281,21,82,176,1974,"tiantlu01","yes"
"Brooks Robinson",5,153,553,46,159,7,59,2,56,0.288,0.353,0.374,0.728,0,0,0,0,0,0,0,0,0,0,0,1974,"robinbr01","yes"
"Paul Blair",5.3,151,552,77,144,17,62,27,43,0.261,0.313,0.417,0.73,0,0,0,0,0,0,0,0,0,0,0,1974,"blairpa01","yes"
"Nolan Ryan",5.9,0,0,0,0,0,0,0,0,0,0,0,0,22,16,2.89,1.272,41,0,332.2,221,18,202,367,1974,"ryanno01","yes"
"Bert Campaneris",5.4,134,527,77,153,2,41,34,47,0.29,0.347,0.366,0.713,0,0,0,0,0,0,0,0,0,0,0,1974,"campabe01","yes"
"Rollie Fingers",1.4,6,0,0,0,0,0,0,0,0,0,0,0,9,5,2.65,1.118,0,18,119,104,5,29,95,1974,"fingero01","yes"
"Gaylord Perry",8.5,0,0,0,0,0,0,0,0,0,0,0,0,21,13,2.51,1.021,37,0,322.1,230,25,99,216,1974,"perryga01","yes"
"Carl Yastrzemski",3.6,148,515,93,155,15,79,12,104,0.301,0.414,0.445,0.859,0,0,0,0,0,0,0,0,0,0,0,1974,"yastrca01","yes"
"Ken Henderson",4.7,162,602,76,176,20,95,12,66,0.292,0.36,0.467,0.827,0,0,0,0,0,0,0,0,0,0,0,1974,"hendeke01","yes"
"John Hiller",4.1,0,0,0,0,0,0,0,0,0,0,0,0,17,14,2.64,1.26,0,13,150,127,10,62,134,1974,"hillejo01","yes"
"Bobby Murcer",1,156,606,69,166,10,88,14,57,0.274,0.332,0.378,0.71,0,0,0,0,0,0,0,0,0,0,0,1974,"murcebo01","yes"
"Lenny Randle",3.5,151,520,65,157,1,49,26,29,0.302,0.338,0.356,0.693,0,0,0,0,0,0,0,0,0,0,0,1974,"randlle01","yes"
"Dick Allen",3.8,128,462,84,139,32,88,7,57,0.301,0.375,0.563,0.938,0,0,0,0,0,0,0,0,0,0,0,1974,"allendi01","yes"
"Lou Piniella",3.4,140,518,71,158,9,70,1,32,0.305,0.341,0.407,0.748,0,0,0,0,0,0,0,0,0,0,0,1974,"pinielo01","yes"
"Sparky Lyle",3.4,4,1,0,0,0,0,0,0,0,0,0,0,9,3,1.66,1.193,0,15,114,93,6,43,89,1974,"lylesp01","yes"
"Mark Belanger",4.5,155,493,54,111,5,36,17,51,0.225,0.298,0.3,0.598,0,0,0,0,0,0,0,0,0,0,0,1974,"belanma01","yes"
"Tommy Davis",0.7,158,626,67,181,11,84,6,34,0.289,0.325,0.377,0.702,0,0,0,0,0,0,0,0,0,0,0,1974,"davisto02","yes"
"Thurman Munson",3,144,517,64,135,13,60,2,44,0.261,0.316,0.381,0.697,0,0,0,0,0,0,0,0,0,0,0,1974,"munsoth01","yes"
"Don Money",5.1,159,629,85,178,15,65,19,62,0.283,0.346,0.415,0.761,0,0,0,0,0,0,0,0,0,0,0,1974,"moneydo01","yes"
"Steve Busby",6.5,0,0,0,0,0,0,0,0,0,0,0,0,22,14,3.39,1.286,38,0,292.1,284,14,92,198,1974,"busbyst01","yes"
"Hal McRae",3.9,148,539,71,167,15,88,11,54,0.31,0.375,0.475,0.85,0,0,0,0,0,0,0,0,0,0,0,1974,"mcraeha01","yes"
"Tom Murphy",5.1,1,2,0,1,0,0,0,0,0.5,0.5,0.5,1,10,10,1.9,1.203,0,20,123,97,6,51,47,1974,"murphto02","yes"
"George Scott",4.2,158,604,74,170,17,82,9,59,0.281,0.345,0.432,0.777,0,0,0,0,0,0,0,0,0,0,0,1974,"scottge02","yes"
"Pat Dobson",4.3,0,0,0,0,0,0,0,0,0,0,0,0,19,15,3.07,1.27,39,0,281,282,23,75,157,1974,"dobsopa01","yes"
"Fred Lynn",7.4,145,528,103,175,21,105,10,62,0.331,0.401,0.566,0.967,0,0,0,0,0,0,0,0,0,0,0,1975,"lynnfr01","yes"
"John Mayberry",7.2,156,554,95,161,34,106,5,119,0.291,0.416,0.547,0.963,0,0,0,0,0,0,0,0,0,0,0,1975,"maybejo01","yes"
"Jim Rice",3,144,564,92,174,22,102,10,36,0.309,0.35,0.491,0.841,0,0,0,0,0,0,0,0,0,0,0,1975,"riceji01","yes"
"Rollie Fingers",2.2,2,1,0,0,0,0,0,0,0,0,0,0,10,6,2.98,1.011,0,24,126.2,95,13,33,115,1975,"fingero01","yes"
"Reggie Jackson",6.7,157,593,91,150,36,104,17,67,0.253,0.329,0.511,0.84,0,0,0,0,0,0,0,0,0,0,0,1975,"jacksre01","yes"
"Jim Palmer",8.4,0,0,0,0,0,0,0,0,0,0,0,0,23,11,2.09,1.031,38,1,323,253,20,80,193,1975,"palmeji01","yes"
"Thurman Munson",6.6,157,597,83,190,12,102,3,45,0.318,0.366,0.429,0.795,0,0,0,0,0,0,0,0,0,0,0,1975,"munsoth01","yes"
"George Scott",3.2,158,617,86,176,36,109,6,51,0.285,0.341,0.515,0.857,0,0,0,0,0,0,0,0,0,0,0,1975,"scottge02","yes"
"Rod Carew",7.8,143,535,89,192,14,80,35,64,0.359,0.421,0.497,0.919,0,0,0,0,0,0,0,0,0,0,0,1975,"carewro01","yes"
"Ken Singleton",5.1,155,586,88,176,15,55,3,118,0.3,0.415,0.454,0.869,0,0,0,0,0,0,0,0,0,0,0,1975,"singlke01","yes"
"George Brett",5.8,159,634,84,195,11,90,13,46,0.308,0.353,0.456,0.809,0,0,0,0,0,0,0,0,0,0,0,1975,"brettge01","yes"
"Catfish Hunter",8.1,0,0,0,0,0,0,0,0,0,0,0,0,23,14,2.58,1.009,39,0,328,248,25,83,177,1975,"hunteca01","yes"
"Rick Burleson",2.1,158,580,66,146,6,62,8,45,0.252,0.305,0.329,0.634,0,0,0,0,0,0,0,0,0,0,0,1975,"burleri01","yes"
"Claudell Washington",4.9,148,590,86,182,10,77,40,32,0.308,0.345,0.424,0.769,0,0,0,0,0,0,0,0,0,0,0,1975,"washicl01","yes"
"Toby Harrah",7.1,151,522,81,153,20,93,23,98,0.293,0.403,0.458,0.861,0,0,0,0,0,0,0,0,0,0,0,1975,"harrato01","yes"
"Mike Torrez",3.5,0,0,0,0,0,0,0,0,0,0,0,0,20,9,3.06,1.371,36,0,270.2,238,15,133,119,1975,"torremi01","yes"
"Rich Gossage",8.2,0,0,0,0,0,0,0,0,0,0,0,0,9,8,1.84,1.193,0,26,141.2,99,3,70,130,1975,"gossari01","yes"
"Paul Lindblad",1.8,5,1,0,0,0,0,0,0,0,0,0,0,9,1,2.72,1.21,0,7,122.1,105,6,43,58,1975,"lindbpa01","yes"
"Gene Tenace",5.2,158,498,83,127,29,87,7,106,0.255,0.395,0.464,0.859,0,0,0,0,0,0,0,0,0,0,0,1975,"tenacge01","yes"
"Don Baylor",3,145,524,79,148,25,76,32,53,0.282,0.36,0.489,0.849,0,0,0,0,0,0,0,0,0,0,0,1975,"baylodo01","yes"
"Bert Campaneris",3.1,137,509,69,135,4,46,24,50,0.265,0.337,0.33,0.667,0,0,0,0,0,0,0,0,0,0,0,1975,"campabe01","yes"
"Boog Powell",4.1,134,435,64,129,27,86,1,59,0.297,0.377,0.524,0.901,0,0,0,0,0,0,0,0,0,0,0,1975,"powelbo01","yes"
"Denny Doyle",2.3,97,325,50,97,4,36,5,15,0.298,0.329,0.412,0.742,0,0,0,0,0,0,0,0,0,0,0,1975,"doylede01","yes"
"Bill Lee",2.4,0,0,0,0,0,0,0,0,0,0,0,0,17,9,3.95,1.319,34,0,260,274,20,69,78,1975,"leebi03","yes"
"Jim Todd",2.1,2,0,0,0,0,0,0,0,0,0,0,0,8,3,2.29,1.123,0,12,122,104,4,33,50,1975,"toddji01","yes"
"Rick Wise",1.7,1,0,0,0,0,0,0,0,0,0,0,0,19,12,3.95,1.308,35,0,255.1,262,34,72,141,1975,"wiseri01","yes"
"Joe Rudi",3.1,126,468,66,130,21,75,2,40,0.278,0.338,0.494,0.831,0,0,0,0,0,0,0,0,0,0,0,1975,"rudijo01","yes"
"Jim Kaat",7.7,0,0,0,0,0,0,0,0,0,0,0,0,20,14,3.11,1.311,41,0,303.2,321,20,77,142,1975,"kaatji01","yes"
"Lee May",1.9,146,580,67,152,20,99,1,36,0.262,0.308,0.424,0.732,0,0,0,0,0,0,0,0,0,0,0,1975,"mayle01","yes"
"Bobby Bonds",5.1,145,529,93,143,32,85,30,89,0.27,0.375,0.512,0.888,0,0,0,0,0,0,0,0,0,0,0,1975,"bondsbo01","yes"
"Carl Yastrzemski",2.8,149,543,91,146,14,60,8,87,0.269,0.371,0.405,0.776,0,0,0,0,0,0,0,0,0,0,0,1975,"yastrca01","yes"
"Thurman Munson",5.3,152,616,79,186,17,105,14,29,0.302,0.337,0.432,0.769,0,0,0,0,0,0,0,0,0,0,0,1976,"munsoth01","yes"
"George Brett",7.5,159,645,94,215,7,67,21,49,0.333,0.377,0.462,0.839,0,0,0,0,0,0,0,0,0,0,0,1976,"brettge01","yes"
"Mickey Rivers",6.4,137,590,95,184,8,67,43,13,0.312,0.327,0.432,0.76,0,0,0,0,0,0,0,0,0,0,0,1976,"rivermi01","yes"
"Hal McRae",4.7,149,527,75,175,8,73,22,64,0.332,0.407,0.461,0.868,0,0,0,0,0,0,0,0,0,0,0,1976,"mcraeha01","yes"
"Rod Carew",6.8,156,605,97,200,9,90,49,67,0.331,0.395,0.463,0.858,0,0,0,0,0,0,0,0,0,0,0,1976,"carewro01","yes"
"Chris Chambliss",4.1,156,641,79,188,17,96,1,27,0.293,0.323,0.441,0.765,0,0,0,0,0,0,0,0,0,0,0,1976,"chambch01","yes"
"Amos Otis",3.2,153,592,93,165,18,86,26,55,0.279,0.341,0.444,0.785,0,0,0,0,0,0,0,0,0,0,0,1976,"otisam01","yes"
"Bill Campbell",1.9,3,0,0,0,0,0,0,0,0,0,0,0,17,5,3.01,1.235,0,20,167.2,145,9,62,115,1976,"campbbi02","yes"
"Lee May",2.7,148,530,61,137,25,109,4,41,0.258,0.312,0.447,0.759,0,0,0,0,0,0,0,0,0,0,0,1976,"mayle01","yes"
"Jim Palmer",6.5,0,0,0,0,0,0,0,0,0,0,0,0,22,13,2.51,1.076,40,0,315,255,20,84,159,1976,"palmeji01","yes"
"Mark Fidrych",9.6,0,0,0,0,0,0,0,0,0,0,0,0,19,9,2.34,1.079,29,0,250.1,217,12,53,97,1976,"fidryma01","yes"
"Joe Rudi",2.4,130,500,54,135,13,94,6,41,0.27,0.323,0.424,0.747,0,0,0,0,0,0,0,0,0,0,0,1976,"rudijo01","yes"
"Sal Bando",5.8,158,550,75,132,27,84,20,76,0.24,0.335,0.427,0.762,0,0,0,0,0,0,0,0,0,0,0,1976,"bandosa01","yes"
"Carl Yastrzemski",3,155,546,71,146,21,102,5,80,0.267,0.357,0.432,0.79,0,0,0,0,0,0,0,0,0,0,0,1976,"yastrca01","yes"
"Frank Tanana",7.5,2,0,0,0,0,0,0,0,0,0,0,0,19,10,2.43,0.988,34,0,288.1,212,24,73,261,1976,"tananfr01","yes"
"Reggie Jackson",5.3,134,498,84,138,27,91,28,54,0.277,0.351,0.502,0.853,0,0,0,0,0,0,0,0,0,0,0,1976,"jacksre01","yes"
"Graig Nettles",8,158,583,88,148,32,93,11,62,0.254,0.327,0.475,0.802,0,0,0,0,0,0,0,0,0,0,0,1976,"nettlgr01","yes"
"Gene Tenace",4.3,128,417,64,104,22,66,5,81,0.249,0.373,0.458,0.831,0,0,0,0,0,0,0,0,0,0,0,1976,"tenacge01","yes"
"Rollie Fingers",3.8,1,0,0,0,0,0,0,0,0,0,0,0,13,11,2.47,1.173,0,20,134.2,118,3,40,113,1976,"fingero01","yes"
"Vida Blue",7.6,0,0,0,0,0,0,0,0,0,0,0,0,18,13,2.35,1.109,37,0,298.1,268,9,63,166,1976,"bluevi01","yes"
